,Q,A,label
104,오번 대학교 / 1856년,org:founded,18
105,정명화 / 첼리스트,per:title,4
106,체트니치 / 유고슬라비아,no_relation,0
107,고양시 / 031 909 9000,no_relation,0
108,AS 로마 / 스타디오 올림피코,no_relation,0
109,김신영 / 48kg,no_relation,0
110,성남 FC / 2014,no_relation,0
111,박덕흠 / 자유한국당,per:employee_of,6
112,심상정 / 정의당,per:employee_of,6
113,이진원 / 달빛요정,per:employee_of,6
114,CJ E M / CJ오쇼핑,no_relation,0
115,이채익 / 자유한국당,per:employee_of,6
116,이혜원 / 안정환,per:spouse,17
117,김영삼 / 1993년,no_relation,0
118,마오쩌둥 / 중국 공산당,per:employee_of,6
119,심재철 / 자유한국당,per:employee_of,6
120,산업통상자원부 / 성윤모,org:top_members/employees,1
121,문무왕 / 자의왕후,per:spouse,17
122,양평군 / 정동균,org:top_members/employees,1
123,툰 운트 스포트버라인 바이어 04 레버쿠젠 / 1904년 7월 1일,org:founded,18
124,이니스프리 / 아모레퍼시픽,no_relation,0
125,소녀시대 / 제시카,per:origin,15
126,스티비 원더 / 프로듀서,per:title,4
127,공무원연금공단 / 정남준,org:top_members/employees,1
128,러시아 연방보안국 / 국가보안위원회,org:alternate_names,5
129,조선중앙통신사 / 조선민주주의인민공화국,org:place_of_headquarters,7
130,리사 디 배나 / 오스트레일리아,per:origin,15
131,고흥군 / 송귀근,org:top_members/employees,1
132,글래스고 / 스코틀랜드,org:place_of_headquarters,7
133,전라남도교육청 / 장석웅,org:top_members/employees,1
134,에든버러 대학교 / 스코틀랜드 에든버러,org:place_of_headquarters,7
135,러시아 / 모스크바,org:members,2
136,구현모 / KT 커스터머 미디어부문장,per:title,4
137,보너 로 / 보수당,per:employee_of,6
138,랩몬스터 / 방탄소년단,per:employee_of,6
139,자유당 / 이승만,org:top_members/employees,1
140,학성고등학교 / 울산광역시,no_relation,0
141,인민수호부대 / 시리아,no_relation,0
142,인천 유나이티드 FC / K리그1,org:member_of,20
143,이개호 / 이낙연,no_relation,0
144,이현성 / 미드필더,per:title,4
145,브라질 / 조선민주주의,no_relation,0
146,다카쿠라 천황 / 고시라카와 천황,per:parents,21
147,전라북도 / 전주시,no_relation,0
148,SK 와이번스 / 2018년,no_relation,0
149,광신고등학교 / 1987년,org:founded,18
150,라인홀트 니부어 / 개신교,per:religion,29
151,KIA 타이거즈 / 2009년 한국시리즈,org:member_of,20
152,헌강왕 / 875년,no_relation,0
153,박주선 / 민생당,per:employee_of,6
154,잭 아이언스 / 드러머,per:title,4
155,김경징 / 1637년 2월 22일,per:date_of_death,24
156,메이스트릴리가 / 1992년,org:founded,18
157,아나킨 스카이워커 / 콰이곤 진,per:colleagues,14
158,아프리카TV / 서수길,org:top_members/employees,1
159,후쿠오카 소프트뱅크 호크스 / 2008,no_relation,0
160,뉘른베르크 / 바이에른,no_relation,0
161,조인철 / 광주광역시 문화경제부시장,per:title,4
162,강은탁 / 신슬기,per:alternate_names,12
163,부산과학기술대학교 / 강기성,org:top_members/employees,1
164,랩몬스터 / 김남준,per:alternate_names,12
165,오빠밴드 / MBC,no_relation,0
166,서울 해치 / 2011년,no_relation,0
167,문재인 / 대한민국,per:place_of_residence,11
168,프리메이라리가 / UEFA,no_relation,0
169,김우빈 / 김현중,per:alternate_names,12
170,레알 마드리드 카스티야 / 세군다 디비시온 B,no_relation,0
171,후진타오 / 장쩌민,no_relation,0
172,소크라테스 / 기원전 399년,no_relation,0
173,볼레스와프 3세 / 폴란드,no_relation,0
174,통일민주당 / 김영삼,org:top_members/employees,1
175,김영삼 / 상도동,no_relation,0
176,문재인 / 더불어민주당,per:employee_of,6
177,대통합민주신당 / 열린우리당,no_relation,0
178,캐나디안 로코모티브 컴퍼니 / 캐나다,org:place_of_headquarters,7
179,노무현 / 대한민국,per:origin,15
180,브리지워터 어소시에이츠 / 레이 달리오,org:top_members/employees,1
181,유리 가가린 / 비행사,per:title,4
182,후지와라 / 아스카 시대,no_relation,0
183,비틀즈 / 폴 매카트니,per:employee_of,6
184,한국타이어앤테크놀로지 / 조현범,org:top_members/employees,1
185,한상길 / 1987년 9월 5일,per:date_of_birth,25
186,11번가 / 이상호,org:top_members/employees,1
187,경남기업 / 대한민국,org:place_of_headquarters,7
188,필리프 3세 / 필리프 4세,no_relation,0
189,안효섭 / 1995년 4월 17일,per:date_of_birth,25
190,나가시마 시게오 / 요미우리 자이언츠,per:employee_of,6
191,쇼니 씨 / 소이씨,per:alternate_names,12
192,J리그 / 18팀,no_relation,0
193,경남대학교 / 박재규,org:top_members/employees,1
194,뉴욕 메츠 / 500만,no_relation,0
195,한국서부발전 / 김병숙,org:top_members/employees,1
196,제2군 / 제1차 세계 대전,no_relation,0
197,해남군 / 명현관,org:top_members/employees,1
198,정읍시 / 유진섭,org:top_members/employees,1
199,윌리엄 4세 / 빅토리아,per:other_family,13
200,앙리 2세 / 프랑수아 1세,no_relation,0
201,신천지예수교 증거장막성전 / 이만희,org:top_members/employees,1
202,민주자유당 / 민자당,org:alternate_names,5
203,백종원 / 더본코리아,per:employee_of,6
204,국제 육상 경기 연맹 / IAAF,org:alternate_names,5
205,군사고문단 / 500명,org:number_of_employees/members,9
206,고양시 / 경기도,org:member_of,20
207,전기전자기술자협회 / IEEE,org:alternate_names,5
208,한국철도시설공단 / 김상균,org:top_members/employees,1
209,방탄소년단 / 2018,no_relation,0
210,삼부토건 / 삼부르네상스,org:product,3
211,박승원 / 1965년,per:date_of_birth,25
212,칼 12세 / 스웨덴,per:employee_of,6
213,전국교직원노동조합 / 전교조,org:alternate_names,5
214,태조왕 / 고구려,per:origin,15
215,박흥식 / 1994년 5월 10일,per:date_of_death,24
216,김일성 / 김성주,no_relation,0
217,장민철 / 1991년 6월 17일,per:date_of_birth,25
218,버턴 릭터 / 물리학,no_relation,0
219,김대중 / 어머니 장수금,per:parents,21
220,빈 국립음악예술대학교 / 오스트리아,org:place_of_headquarters,7
221,야마모토 이소로쿠 / 연합함대 사령장관,per:title,4
222,훌라구 칸 / 일 칸국,per:employee_of,6
223,연천군 / 김광철,org:top_members/employees,1
224,민주정의당 / 노태우,org:top_members/employees,1
225,조선의용군 / 조선의용대,org:alternate_names,5
226,김중수 / 한국은행 총재,per:title,4
227,아라고른 / 곤도르,per:employee_of,6
228,루이 14세 / 마리 테레즈,per:spouse,17
229,신문왕 / 문무왕,per:parents,21
230,무함마드 / 메디나,per:place_of_residence,11
231,노태현 / JBJ,per:employee_of,6
232,BLACKPINK / 블랙핑크,org:alternate_names,5
233,유한굉 / 중국 당나라,per:place_of_residence,11
234,KFC / 커널 샌더스,org:founded_by,28
235,한용운 / 독립운동가,per:title,4
236,민주평화통일자문회의 / 대통령,no_relation,0
237,우에노 주리 / 1986년 5월 25일,per:date_of_birth,25
238,네이버 / 한성숙,org:top_members/employees,1
239,안정환 / 이혜원,per:spouse,17
240,이순자 / 전두환,no_relation,0
241,박헌영 / 한국 전쟁,no_relation,0
242,영암군 / 전동평,org:top_members/employees,1
243,퍼시픽리그 / 일본 프로 야구,org:member_of,20
244,사무드라굽타 / 힌두교,per:religion,29
245,이민정 / 이병헌,per:spouse,17
246,마리 앙트와네트 / 루이 16세,per:spouse,17
247,정웅인 / 이지인,per:spouse,17
248,안산 무궁화 축구단 / K리그 챌린지,org:member_of,20
249,아테네 / 그리스,org:place_of_headquarters,7
250,리처드 닉슨 / 공화당,per:employee_of,6
251,ROTTA / 1978년 8월 28일,per:date_of_birth,25
252,이승윤 / 개그맨,per:title,4
253,핀란드 능동저항당 / 1904년 11월 17일,org:founded,18
254,아프리카 프릭스 / 리그 오브 레전드,no_relation,0
255,전라북도청 / 행정안전부,no_relation,0
256,배힘찬 / 1983년 12월 8일,per:date_of_birth,25
257,삼성전자 / LSI,org:product,3
258,제이통 / 1988년 2월 7일,per:date_of_birth,25
259,경성방직 / 김성수,org:top_members/employees,1
260,신의손 / 1960년 1월 12일,per:date_of_birth,25
261,"러시아군 / 25,000",no_relation,0
262,조선인민당 / 여운형,org:top_members/employees,1
263,의정부시 / 경기도,org:place_of_headquarters,7
264,서울대학교 / 1946년,no_relation,0
265,마드리드 / 스페인,org:member_of,20
266,제주교육대학교 / 2008년 3월 1일,org:dissolved,22
267,히로히토 / 일본군,no_relation,0
268,레오 10세 / 조반니 디 로렌초 데 메디치,per:alternate_names,12
269,김정호 / 국회의원,per:title,4
270,텔레노르 / 덴마크,no_relation,0
271,키드 커디 / 1984년 1월 30일,per:date_of_birth,25
272,칼 12세 / 스웨덴 국왕,per:title,4
273,보건복지부 / 박능후,org:top_members/employees,1
274,조동찬 / 외야수,no_relation,0
275,YG엔터테인먼트 / 양현석,no_relation,0
276,B.B. 킹 / 에릭 클랩튼,per:colleagues,14
277,하후돈 / 하후연,per:siblings,16
278,손병희 / 천도교,per:religion,29
279,교황령 / 가톨릭,org:political/religious_affiliation,19
280,민의원 / 곽상훈,org:top_members/employees,1
281,정현백 / 문재인,per:colleagues,14
282,제임스 6세 / 엘리자베스 1세,no_relation,0
283,조양호 / 이명희,per:spouse,17
284,민주당 / 2016년,no_relation,0
285,경상남도 / 창원시,org:members,2
286,NC 다이노스 / 2011년,no_relation,0
287,법제사법위원회 / 여상규,org:top_members/employees,1
288,카르나 / 카우라바,per:origin,15
289,NC 다이노스 / 2015년,no_relation,0
290,마크 벌리 / 시카고 화이트삭스,per:employee_of,6
291,전두환 / 이순자,per:spouse,17
292,김익훈 / 1619년,no_relation,0
293,김태은 / 수비수,per:title,4
294,배트맨 / 다크 나이트,per:alternate_names,12
295,TWRP 팀 / 안드로이드,no_relation,0
296,자비르 이븐 하이얀 / 연금술사,per:title,4
297,하이트진로 / 김인규,org:top_members/employees,1
298,MC딩동 / 허용운,per:alternate_names,12
299,LG생활건강 / 차석용,org:top_members/employees,1
300,김건모 / 건음기획,per:employee_of,6
301,팔레올로고스 왕조 / 미하일 8세,org:top_members/employees,1
302,구혜선 / HB엔터테인먼트,no_relation,0
303,노무현 / 대한민국,per:origin,15
304,삼성 라이온즈 / 2014년,no_relation,0
305,자크 카르티에 / 프랑스,per:employee_of,6
306,더불어민주당 / 2016년,no_relation,0
307,설공검 / 1302년,per:date_of_death,24
308,신안군 / 박우량,org:top_members/employees,1
309,민주정의당 / 전두환,org:top_members/employees,1
310,카게야마 슌 / 가면라이더,per:title,4
311,김정숙 / 문재인,per:spouse,17
312,연정훈 / 한가인,per:spouse,17
313,한국동서발전 / 박일준,org:top_members/employees,1
314,이이 나오스케 / 히코네 번,per:place_of_residence,11
315,새천년민주당 / 열린우리당,no_relation,0
316,아시아나항공 / HDC현대산업개발,no_relation,0
317,수원 삼성 블루윙즈 / 2004,no_relation,0
318,박헌영 / 조선로동당,no_relation,0
319,보루시아 도르트문트 / 분데스리가,org:member_of,20
320,베네딕토 16세 / 요한 바오로 2세,per:colleagues,14
321,CBS / 대한민국,org:place_of_headquarters,7
322,도쿠가와 이에미쓰 / 에도 막부,per:employee_of,6
323,독립국가연합 / CIS,org:alternate_names,5
324,토론토 블루제이스 / 1993,no_relation,0
325,현대차 그룹 / 현대모비스,org:members,2
326,육영수 / 1974년 8월 15일,per:date_of_death,24
327,AFC 아약스 / 2012 13,no_relation,0
328,김예림 / 투개월,per:employee_of,6
329,상주 상무 / 2013,no_relation,0
330,더불어민주당 / 문재인,no_relation,0
331,킴 리틀 / 아스널,per:employee_of,6
332,블라디미르 게레로 주니어 / 1999년 3월 16일,per:date_of_birth,25
333,이종욱 / 2008년,no_relation,0
334,장경진 / 전남 드래곤즈,no_relation,0
335,GO 트랜싯 / 캐나다,org:place_of_headquarters,7
336,서울형사지방법원 / 서울지방법원,no_relation,0
337,KIA 타이거즈 / 2011년,no_relation,0
338,더불어민주당 / 2016년,no_relation,0
339,비카르나 / 판다바,no_relation,0
340,동아일보 / 1920년,org:founded,18
341,"소련군 / 37,000명",no_relation,0
342,유벤투스 / 토리노,no_relation,0
343,젝스키스 / 은지원,no_relation,0
344,권창훈 / 프라이부르크,per:employee_of,6
345,전라남도교육청 / 장석웅,org:top_members/employees,1
346,뉴사우스웨일스 / 시드니,no_relation,0
347,더불어민주당 / 문재인,no_relation,0
348,주시은 / 아나운서,per:title,4
349,경남대학교 / 박재규,org:top_members/employees,1
350,롯데 자이언츠 / 1984년,no_relation,0
351,나훈아 / 트로트,no_relation,0
352,광해군 / 폐세자 이질,per:children,10
353,CJ그룹 / 이재현,org:top_members/employees,1
354,몽골 인민 공화국 / 공산주의,org:political/religious_affiliation,19
355,하나금융그룹 / 김정태,org:top_members/employees,1
356,컴캐스트 / NBC 유니버설,org:members,2
357,리셴녠 / 1909년 6월 23일,per:date_of_birth,25
358,조영래 / 변호사,per:title,4
359,양평군 / 경기도,org:place_of_headquarters,7
360,차인하 / 이재호,per:alternate_names,12
361,최한림 / 1971년 11월 15일,per:date_of_birth,25
362,광양시 / 10개,no_relation,0
363,캐나다 / 토론토,org:members,2
364,박진영 / 안무가,no_relation,0
365,서기석 / 1953년 2월 19일,per:date_of_birth,25
366,마동석 / 이동석,per:alternate_names,12
367,대한민국 임시정부 / 상하이,org:place_of_headquarters,7
368,신채호 / 역사학자,per:title,4
369,미카엘 7세 / 로마누스 4세,no_relation,0
370,정호용 / 노신영,per:colleagues,14
371,호텔 델루나 / 여진구,no_relation,0
372,에드워드 7세 / 루이즈,per:children,10
373,다마키 고지 / 옥치호이,per:alternate_names,12
374,유재석 / 유느님,per:alternate_names,12
375,공원왕후 / 충숙왕,per:spouse,17
376,닥터 에그맨 / 아이보 로보트닉,no_relation,0
377,고양시 / 경기도,org:member_of,20
378,카도야 츠카사 / 디케이드,no_relation,0
379,담양군 / 최형식,org:top_members/employees,1
380,안철수 / 1962년 2월 26일,per:date_of_birth,25
381,제102보충대대 / 제1야전군,org:member_of,20
382,구승리 / 썬더스톰 야구단,per:employee_of,6
383,황바울 / 간미연,per:spouse,17
384,광주광역시 / 이용섭,org:top_members/employees,1
385,장쉐량 / 동북군,per:employee_of,6
386,보건복지부 / 박능후,org:top_members/employees,1
387,하태경 / 국방위원회,per:employee_of,6
388,민주당 / 2016년,no_relation,0
389,퍼시픽 리그 / 일본 프로 야구,org:member_of,20
390,이범호 / 한화 이글스,no_relation,0
391,린킨 파크 / 체스터 베닝턴,per:employee_of,6
392,유은혜 / 사회부총리 겸 교육부장관,per:title,4
393,정복동 / 김병철,per:alternate_names,12
394,세레소 오사카 / 2018,no_relation,0
395,다리우스 1세 / 크세르크세스 1세,per:children,10
396,해남군 / 명현관,org:top_members/employees,1
397,개혁결집회 / 민진당,no_relation,0
398,람캄행 / 쓰엉 부인,no_relation,0
399,메르세데스 벤츠 / 자동차,org:product,3
400,서필상 / 산청함양거창합천,per:employee_of,6
401,전주 매그 FC / 전라북도 전주시,org:place_of_headquarters,7
402,세리에 B / 세리에 C,org:members,2
403,송제헌 / 공격수,per:title,4
404,화순군 / 구충곤,org:top_members/employees,1
405,김재걸 / 삼성 라이온즈,per:employee_of,6
406,숙의 박씨 / 영온옹주,per:children,10
407,장덕도서관 / 광산구,org:place_of_headquarters,7
408,FC 포르투 / 2010,no_relation,0
409,알프레드 노벨 / 스웨덴,per:origin,15
410,평화민주당 / 김대중,org:top_members/employees,1
411,디코이 / 롤링컬쳐원,per:employee_of,6
412,에릭 울프슨 / 알란 파슨스 프로젝트,no_relation,0
413,김천교육지원청 / 경상북도교육청,no_relation,0
414,임은수 / 2003년 2월 26일,per:date_of_birth,25
415,대안신당 / 최경환,org:top_members/employees,1
416,곡성군 / 유근기,org:top_members/employees,1
417,KBS 전주방송총국 / KBS 전주방송총국,org:alternate_names,5
418,유지태 / 김효진,per:spouse,17
419,분데스리가 / DFB 포칼,no_relation,0
420,이혜리 / 걸스데이,per:employee_of,6
421,존 C. 브레킨리지 / 민주당,per:employee_of,6
422,루이 15세 / 빅투아르,per:children,10
423,조코위 / 민주항쟁당,per:employee_of,6
424,평화민주당 / 김대중,org:top_members/employees,1
425,조봉암 / 진보당,per:employee_of,6
426,정길화 / 연출가,per:title,4
427,모스크바 / 러시아,org:member_of,20
428,쇼 야노 / 1990년 10월 22일,per:date_of_birth,25
429,바이어 04 레버쿠젠 / 분데스리가,org:member_of,20
430,나주시 / 전라남도,org:member_of,20
431,안토니오 비발디 / 바이올린,no_relation,0
432,고촉통 / 싱가포르,per:origin,15
433,김대중 / 1987년,no_relation,0
434,민주평화통일자문회의 / 정세현,org:top_members/employees,1
435,손흥민 / 토트넘 홋스퍼,per:employee_of,6
436,폴란드 / 1989년,no_relation,0
437,한국자산관리공사 / 문성유,org:top_members/employees,1
438,함연지 / 뮤지컬 배우,per:title,4
439,"스페인 / 6,000명",no_relation,0
440,코파 델 레이 / 스페인,org:place_of_headquarters,7
441,폴란드 인민 공화국 / 공산주의,org:political/religious_affiliation,19
442,SK하이닉스 / SK텔레콤,no_relation,0
443,"로버트 팰컨 스콧 / 군인, 탐험가",per:title,4
444,김복동 / 인권운동가,per:title,4
445,정용진 / 신세계그룹,per:employee_of,6
446,기획재정부 / 기재부,org:alternate_names,5
447,구시 칸 / 1582년,per:date_of_birth,25
448,양녕대군 / 1394년,per:date_of_birth,25
449,일본군 / 일본 제국,org:place_of_headquarters,7
450,요제프 1세 / 1711년 4월 17일,per:date_of_death,24
451,아시아축구연맹 / AFC,org:alternate_names,5
452,롤링 스톤스 / Aftermath,org:product,3
453,아틀레티코 마드리드 / 프리메라리가,org:member_of,20
454,국제올림픽위원회 / IOC,org:alternate_names,5
455,김혁종 / 광주대학교,per:employee_of,6
456,류경수 / 1915년 9월 9일 1958년 11월 19일,per:date_of_birth,25
457,전주지방검찰청 / 광주고등검찰청,org:member_of,20
458,국민볼셰비키당 / 에두아르드 리모노프,org:founded_by,28
459,이태승 / TEEN TEEN,per:employee_of,6
460,공무원연금공단 / 정남준,org:top_members/employees,1
461,인테르나치오날레 / UEFA,org:member_of,20
462,바그다드 부네자 / Baghdad Bounedjah,per:alternate_names,12
463,내셔널리그 / K리그,no_relation,0
464,개로왕 / 문주왕,per:children,10
465,아시아나항공 / 스타얼라이언스,org:member_of,20
466,인강여객 / 인천광역시,org:place_of_headquarters,7
467,이봉의 / 이기원,per:children,10
468,삼성전자 / LSI,org:product,3
469,무함마드 아민 칸 / 1855년,no_relation,0
470,러블리즈 / Lovelyz,per:alternate_names,12
471,민주통합당 / 더불어민주당,org:alternate_names,5
472,임동혁 / 1984년 7월 25일,per:date_of_birth,25
473,페넬로페 크루스 산체스 / 1974년 4월 28일,per:date_of_birth,25
474,조선총독부 / 1910년 10월 1일,no_relation,0
475,이스마일 2세 / 타흐마스프 1세,per:parents,21
476,유진기업 / 유진투자증권,org:members,2
477,아메리카 혁명인민동맹 / 1924년 5월 7일,org:founded,18
478,브리티시컬럼비아 대학교 / 캐나다,org:place_of_headquarters,7
479,바즈겐 사르키샨 / 1959년 3월 5일,per:date_of_birth,25
480,이용섭 / 더불어민주당,per:employee_of,6
481,루이스 해밀턴 / 맥라렌,per:employee_of,6
482,신안군 / 박우량,org:top_members/employees,1
483,동명대 / 정홍섭,org:top_members/employees,1
484,애들레이 스티븐슨 / 민주당,per:employee_of,6
485,김수자 / 1957년,per:date_of_birth,25
486,박근혜 / 자유한국당,no_relation,0
487,루시드 폴 / 미선이,per:alternate_names,12
488,유네스코 / 인류무형문화유산,no_relation,0
489,YG엔터테인먼트 / 양현석,no_relation,0
490,키움증권 / 다우기술,no_relation,0
491,겔러트 그린델왈드 / 알버스 덤블도어,no_relation,0
492,조선인민군 / 조선민주주의인민공화국,org:member_of,20
493,씨제이엔터테인먼트 / 씨제이이에치 ,org:alternate_names,5
494,랄라블라 / GS리테일,no_relation,0
495,우리당 / 노무현,no_relation,0
496,하드리아누스 / 로마 제국,per:origin,15
497,네부카드네자르 2세 / 신바빌로니아,per:origin,15
498,이은권 / 자유한국당,per:employee_of,6
499,의경세자 / 정희왕후,no_relation,0
500,데이비드 흄 / 1776년 8월 25일,per:date_of_death,24
501,조국전선 / 엥겔베르트 돌푸스,org:top_members/employees,1
502,김성주 / 대한민국,per:place_of_residence,11
503,대한축구협회 / KFA,org:alternate_names,5
504,전북 현대 모터스 / 2000,no_relation,0
505,정동영 / 국민의당,no_relation,0
506,경남대학교 / 박재규,org:top_members/employees,1
507,심진화 / 김원효,per:spouse,17
508,재커리 테일러 / 휘그당,per:employee_of,6
509,세르비아 / 베오그라드,no_relation,0
510,DELAG / 1909년 11월 16일,org:founded,18
511,중소벤처기업진흥공단 / 중진공,org:alternate_names,5
512,심재철 / 국회부의장,per:title,4
513,최수종 / 하희라,per:spouse,17
514,분데스리가 / 1963년,org:founded,18
515,노바야 가제타 / 자유주의,org:political/religious_affiliation,19
516,세르반테스 / 스페인,per:origin,15
517,도조 히데키 / 일본 제국,per:origin,15
518,제15특수임무비행단 / 대한민국 공군,org:member_of,20
519,지네딘 지단 / 레알 마드리드,no_relation,0
520,세리에 A / AC 밀란,org:members,2
521,이유현 / 수비수,no_relation,0
522,투니버스 / 애니메이션,no_relation,0
523,마리오 켐페스 / 축구선수,per:title,4
524,샬롯 스무디 / 빅 맘 해적단,per:employee_of,6
525,해적당 / 스웨덴,org:place_of_headquarters,7
526,백선엽 / 박정희,no_relation,0
527,일본 기상청 / JMA,org:alternate_names,5
528,송시열 / 송갑조,per:parents,21
529,동양방송 / TBC,org:alternate_names,5
530,러시아 / 모스크바,no_relation,0
531,건강보험심사평가원 / 보건복지부,no_relation,0
532,카데르 칸 / 캐나다,per:origin,15
533,펑더화이 / 린뱌오,no_relation,0
534,FC 서울 / 1985,no_relation,0
535,마오쩌둥 / 청나라,no_relation,0
536,인테르나치오날레 / 세리에 A,org:member_of,20
537,페데리코 프랑코 / 자유당,per:employee_of,6
538,베스파시아누스 / 티투스,no_relation,0
539,호조씨 / 후북조씨,org:alternate_names,5
540,류현진 / 8000만달러,no_relation,0
541,러시아 차르국 / 모스크바 차르국,org:alternate_names,5
542,전북현대 / K리그1,org:member_of,20
543,크로아티아 / 1998년 FIFA 월드컵,org:member_of,20
544,전국민주노동조합총연맹 / 한상균,org:top_members/employees,1
545,김대중 / 김홍업,no_relation,0
546,안토니우 구테흐스 / 포르투갈,no_relation,0
547,헨리 7세 / 리처드 3세,no_relation,0
548,루이스 해밀턴 / 맥라렌,per:employee_of,6
549,한나라당 / 2012년 2월 13일,no_relation,0
550,스텔리오스 얀나코풀로스 / 그리스,per:origin,15
551,케이틀린 오스먼드 / 캐나다,per:origin,15
552,박병호 / 1루수,per:title,4
553,뉴욕 양키스 / 1995,no_relation,0
554,나랏말싸미 / 송강호,no_relation,0
555,프랭크 로이드 라이트 / 건축가,per:title,4
556,권선화 / 김윤진,per:alternate_names,12
557,아우구스투스 / 티베리우스,per:children,10
